regime,layer_id,head_id,selected_window_idx,selected_window_size,pre_clamp_window_idx,final_window_idx,final_window_size,ACR
shallow_freeze,0,0,2,2048,3,2,2048,1.0
shallow_freeze,0,1,2,2048,3,2,2048,1.0
shallow_freeze,0,2,2,2048,3,2,2048,1.0
shallow_freeze,0,3,2,2048,3,2,2048,1.0
shallow_freeze,0,4,2,2048,3,2,2048,1.0
shallow_freeze,0,5,2,2048,3,2,2048,1.0
shallow_freeze,0,6,2,2048,3,2,2048,1.0
shallow_freeze,0,7,2,2048,3,2,2048,1.0
shallow_freeze,0,8,2,2048,3,2,2048,1.0
shallow_freeze,0,9,2,2048,3,2,2048,1.0
shallow_freeze,0,10,2,2048,3,2,2048,1.0
shallow_freeze,0,11,2,2048,3,2,2048,1.0
shallow_freeze,0,12,2,2048,3,2,2048,1.0
shallow_freeze,0,13,2,2048,3,2,2048,1.0
shallow_freeze,0,14,2,2048,3,2,2048,1.0
shallow_freeze,0,15,2,2048,3,2,2048,1.0
shallow_freeze,0,16,2,2048,3,2,2048,1.0
shallow_freeze,0,17,2,2048,3,2,2048,1.0
shallow_freeze,0,18,2,2048,3,2,2048,1.0
shallow_freeze,0,19,2,2048,3,2,2048,1.0
shallow_freeze,0,20,2,2048,3,2,2048,1.0
shallow_freeze,0,21,2,2048,3,2,2048,1.0
shallow_freeze,0,22,2,2048,3,2,2048,1.0
shallow_freeze,0,23,2,2048,3,2,2048,1.0
shallow_freeze,0,24,2,2048,3,2,2048,1.0
shallow_freeze,0,25,2,2048,3,2,2048,1.0
shallow_freeze,0,26,2,2048,3,2,2048,1.0
shallow_freeze,0,27,2,2048,3,2,2048,1.0
shallow_freeze,0,28,2,2048,3,2,2048,1.0
shallow_freeze,0,29,2,2048,3,2,2048,1.0
shallow_freeze,0,30,2,2048,3,2,2048,1.0
shallow_freeze,0,31,2,2048,3,2,2048,1.0
shallow_freeze,1,0,1,1024,2,1,1024,1.0
shallow_freeze,1,1,1,1024,2,1,1024,1.0
shallow_freeze,1,2,1,1024,2,1,1024,1.0
shallow_freeze,1,3,1,1024,2,1,1024,1.0
shallow_freeze,1,4,1,1024,2,1,1024,1.0
shallow_freeze,1,5,1,1024,2,1,1024,1.0
shallow_freeze,1,6,1,1024,2,1,1024,1.0
shallow_freeze,1,7,1,1024,2,1,1024,1.0
shallow_freeze,1,8,1,1024,2,1,1024,1.0
shallow_freeze,1,9,1,1024,2,1,1024,1.0
shallow_freeze,1,10,1,1024,2,1,1024,1.0
shallow_freeze,1,11,1,1024,2,1,1024,1.0
shallow_freeze,1,12,1,1024,2,1,1024,1.0
shallow_freeze,1,13,1,1024,2,1,1024,1.0
shallow_freeze,1,14,1,1024,2,1,1024,1.0
shallow_freeze,1,15,1,1024,2,1,1024,1.0
shallow_freeze,1,16,1,1024,2,1,1024,1.0
shallow_freeze,1,17,1,1024,2,1,1024,1.0
shallow_freeze,1,18,1,1024,2,1,1024,1.0
shallow_freeze,1,19,1,1024,2,1,1024,1.0
shallow_freeze,1,20,1,1024,2,1,1024,1.0
shallow_freeze,1,21,1,1024,2,1,1024,1.0
shallow_freeze,1,22,1,1024,2,1,1024,1.0
shallow_freeze,1,23,1,1024,2,1,1024,1.0
shallow_freeze,1,24,1,1024,2,1,1024,1.0
shallow_freeze,1,25,1,1024,2,1,1024,1.0
shallow_freeze,1,26,1,1024,2,1,1024,1.0
shallow_freeze,1,27,1,1024,2,1,1024,1.0
shallow_freeze,1,28,1,1024,2,1,1024,1.0
shallow_freeze,1,29,1,1024,2,1,1024,1.0
shallow_freeze,1,30,1,1024,2,1,1024,1.0
shallow_freeze,1,31,1,1024,2,1,1024,1.0
shallow_freeze,2,0,0,512,0,0,512,1.0
shallow_freeze,2,1,0,512,0,0,512,1.0
shallow_freeze,2,2,0,512,0,0,512,1.0
shallow_freeze,2,3,0,512,0,0,512,1.0
shallow_freeze,2,4,0,512,0,0,512,1.0
shallow_freeze,2,5,0,512,0,0,512,1.0
shallow_freeze,2,6,0,512,0,0,512,1.0
shallow_freeze,2,7,0,512,0,0,512,1.0
shallow_freeze,2,8,0,512,0,0,512,1.0
shallow_freeze,2,9,0,512,0,0,512,1.0
shallow_freeze,2,10,0,512,0,0,512,1.0
shallow_freeze,2,11,0,512,0,0,512,1.0
shallow_freeze,2,12,0,512,0,0,512,1.0
shallow_freeze,2,13,0,512,0,0,512,1.0
shallow_freeze,2,14,0,512,0,0,512,1.0
shallow_freeze,2,15,0,512,0,0,512,1.0
shallow_freeze,2,16,0,512,0,0,512,1.0
shallow_freeze,2,17,0,512,0,0,512,1.0
shallow_freeze,2,18,0,512,0,0,512,1.0
shallow_freeze,2,19,0,512,0,0,512,1.0
shallow_freeze,2,20,0,512,0,0,512,1.0
shallow_freeze,2,21,0,512,0,0,512,1.0
shallow_freeze,2,22,0,512,0,0,512,1.0
shallow_freeze,2,23,0,512,0,0,512,1.0
shallow_freeze,2,24,0,512,0,0,512,1.0
shallow_freeze,2,25,0,512,0,0,512,1.0
shallow_freeze,2,26,0,512,0,0,512,1.0
shallow_freeze,2,27,0,512,0,0,512,1.0
shallow_freeze,2,28,0,512,0,0,512,1.0
shallow_freeze,2,29,0,512,0,0,512,1.0
shallow_freeze,2,30,0,512,0,0,512,1.0
shallow_freeze,2,31,0,512,0,0,512,1.0
shallow_freeze,3,0,2,2048,3,2,2048,1.0
shallow_freeze,3,1,2,2048,3,2,2048,1.0
shallow_freeze,3,2,2,2048,3,2,2048,1.0
shallow_freeze,3,3,2,2048,3,2,2048,1.0
shallow_freeze,3,4,2,2048,3,2,2048,1.0
shallow_freeze,3,5,2,2048,3,2,2048,1.0
shallow_freeze,3,6,2,2048,3,2,2048,1.0
shallow_freeze,3,7,2,2048,3,2,2048,1.0
shallow_freeze,3,8,2,2048,3,2,2048,1.0
shallow_freeze,3,9,2,2048,3,2,2048,1.0
shallow_freeze,3,10,2,2048,3,2,2048,1.0
shallow_freeze,3,11,2,2048,3,2,2048,1.0
shallow_freeze,3,12,2,2048,3,2,2048,1.0
shallow_freeze,3,13,2,2048,3,2,2048,1.0
shallow_freeze,3,14,2,2048,3,2,2048,1.0
shallow_freeze,3,15,2,2048,3,2,2048,1.0
shallow_freeze,3,16,2,2048,3,2,2048,1.0
shallow_freeze,3,17,2,2048,3,2,2048,1.0
shallow_freeze,3,18,2,2048,3,2,2048,1.0
shallow_freeze,3,19,2,2048,3,2,2048,1.0
shallow_freeze,3,20,2,2048,3,2,2048,1.0
shallow_freeze,3,21,2,2048,3,2,2048,1.0
shallow_freeze,3,22,2,2048,3,2,2048,1.0
shallow_freeze,3,23,2,2048,3,2,2048,1.0
shallow_freeze,3,24,2,2048,3,2,2048,1.0
shallow_freeze,3,25,2,2048,3,2,2048,1.0
shallow_freeze,3,26,2,2048,3,2,2048,1.0
shallow_freeze,3,27,2,2048,3,2,2048,1.0
shallow_freeze,3,28,2,2048,3,2,2048,1.0
shallow_freeze,3,29,2,2048,3,2,2048,1.0
shallow_freeze,3,30,2,2048,3,2,2048,1.0
shallow_freeze,3,31,2,2048,3,2,2048,1.0
shallow_freeze,4,0,0,512,0,0,512,1.0
shallow_freeze,4,1,0,512,0,0,512,1.0
shallow_freeze,4,2,0,512,0,0,512,1.0
shallow_freeze,4,3,0,512,0,0,512,1.0
shallow_freeze,4,4,0,512,0,0,512,1.0
shallow_freeze,4,5,0,512,0,0,512,1.0
shallow_freeze,4,6,0,512,0,0,512,1.0
shallow_freeze,4,7,0,512,0,0,512,1.0
shallow_freeze,4,8,0,512,0,0,512,1.0
shallow_freeze,4,9,0,512,0,0,512,1.0
shallow_freeze,4,10,0,512,0,0,512,1.0
shallow_freeze,4,11,0,512,0,0,512,1.0
shallow_freeze,4,12,0,512,0,0,512,1.0
shallow_freeze,4,13,0,512,0,0,512,1.0
shallow_freeze,4,14,0,512,0,0,512,1.0
shallow_freeze,4,15,0,512,0,0,512,1.0
shallow_freeze,4,16,0,512,0,0,512,1.0
shallow_freeze,4,17,0,512,0,0,512,1.0
shallow_freeze,4,18,0,512,0,0,512,1.0
shallow_freeze,4,19,0,512,0,0,512,1.0
shallow_freeze,4,20,0,512,0,0,512,1.0
shallow_freeze,4,21,0,512,0,0,512,1.0
shallow_freeze,4,22,0,512,0,0,512,1.0
shallow_freeze,4,23,0,512,0,0,512,1.0
shallow_freeze,4,24,0,512,0,0,512,1.0
shallow_freeze,4,25,0,512,0,0,512,1.0
shallow_freeze,4,26,0,512,0,0,512,1.0
shallow_freeze,4,27,0,512,0,0,512,1.0
shallow_freeze,4,28,0,512,0,0,512,1.0
shallow_freeze,4,29,0,512,0,0,512,1.0
shallow_freeze,4,30,0,512,0,0,512,1.0
shallow_freeze,4,31,0,512,0,0,512,1.0
shallow_freeze,5,0,2,2048,3,2,2048,1.0
shallow_freeze,5,1,2,2048,3,2,2048,1.0
shallow_freeze,5,2,2,2048,3,2,2048,1.0
shallow_freeze,5,3,2,2048,3,2,2048,1.0
shallow_freeze,5,4,2,2048,3,2,2048,1.0
shallow_freeze,5,5,2,2048,3,2,2048,1.0
shallow_freeze,5,6,2,2048,3,2,2048,1.0
shallow_freeze,5,7,2,2048,3,2,2048,1.0
shallow_freeze,5,8,2,2048,3,2,2048,1.0
shallow_freeze,5,9,2,2048,3,2,2048,1.0
shallow_freeze,5,10,2,2048,3,2,2048,1.0
shallow_freeze,5,11,2,2048,3,2,2048,1.0
shallow_freeze,5,12,2,2048,3,2,2048,1.0
shallow_freeze,5,13,2,2048,3,2,2048,1.0
shallow_freeze,5,14,2,2048,3,2,2048,1.0
shallow_freeze,5,15,2,2048,3,2,2048,1.0
shallow_freeze,5,16,2,2048,3,2,2048,1.0
shallow_freeze,5,17,2,2048,3,2,2048,1.0
shallow_freeze,5,18,2,2048,3,2,2048,1.0
shallow_freeze,5,19,2,2048,3,2,2048,1.0
shallow_freeze,5,20,2,2048,3,2,2048,1.0
shallow_freeze,5,21,2,2048,3,2,2048,1.0
shallow_freeze,5,22,2,2048,3,2,2048,1.0
shallow_freeze,5,23,2,2048,3,2,2048,1.0
shallow_freeze,5,24,2,2048,3,2,2048,1.0
shallow_freeze,5,25,2,2048,3,2,2048,1.0
shallow_freeze,5,26,2,2048,3,2,2048,1.0
shallow_freeze,5,27,2,2048,3,2,2048,1.0
shallow_freeze,5,28,2,2048,3,2,2048,1.0
shallow_freeze,5,29,2,2048,3,2,2048,1.0
shallow_freeze,5,30,2,2048,3,2,2048,1.0
shallow_freeze,5,31,2,2048,3,2,2048,1.0
shallow_freeze,6,0,2,2048,3,2,2048,1.0
shallow_freeze,6,1,2,2048,3,2,2048,1.0
shallow_freeze,6,2,2,2048,3,2,2048,1.0
shallow_freeze,6,3,2,2048,3,2,2048,1.0
shallow_freeze,6,4,2,2048,3,2,2048,1.0
shallow_freeze,6,5,2,2048,3,2,2048,1.0
shallow_freeze,6,6,2,2048,3,2,2048,1.0
shallow_freeze,6,7,2,2048,3,2,2048,1.0
shallow_freeze,6,8,2,2048,3,2,2048,1.0
shallow_freeze,6,9,2,2048,3,2,2048,1.0
shallow_freeze,6,10,2,2048,3,2,2048,1.0
shallow_freeze,6,11,2,2048,3,2,2048,1.0
shallow_freeze,6,12,2,2048,3,2,2048,1.0
shallow_freeze,6,13,2,2048,3,2,2048,1.0
shallow_freeze,6,14,2,2048,3,2,2048,1.0
shallow_freeze,6,15,2,2048,3,2,2048,1.0
shallow_freeze,6,16,2,2048,3,2,2048,1.0
shallow_freeze,6,17,2,2048,3,2,2048,1.0
shallow_freeze,6,18,2,2048,3,2,2048,1.0
shallow_freeze,6,19,2,2048,3,2,2048,1.0
shallow_freeze,6,20,2,2048,3,2,2048,1.0
shallow_freeze,6,21,2,2048,3,2,2048,1.0
shallow_freeze,6,22,2,2048,3,2,2048,1.0
shallow_freeze,6,23,2,2048,3,2,2048,1.0
shallow_freeze,6,24,2,2048,3,2,2048,1.0
shallow_freeze,6,25,2,2048,3,2,2048,1.0
shallow_freeze,6,26,2,2048,3,2,2048,1.0
shallow_freeze,6,27,2,2048,3,2,2048,1.0
shallow_freeze,6,28,2,2048,3,2,2048,1.0
shallow_freeze,6,29,2,2048,3,2,2048,1.0
shallow_freeze,6,30,2,2048,3,2,2048,1.0
shallow_freeze,6,31,2,2048,3,2,2048,1.0
shallow_freeze,7,0,1,1024,1,1,1024,1.0
shallow_freeze,7,1,1,1024,1,1,1024,1.0
shallow_freeze,7,2,1,1024,1,1,1024,1.0
shallow_freeze,7,3,1,1024,1,1,1024,1.0
shallow_freeze,7,4,1,1024,1,1,1024,1.0
shallow_freeze,7,5,1,1024,1,1,1024,1.0
shallow_freeze,7,6,1,1024,1,1,1024,1.0
shallow_freeze,7,7,1,1024,1,1,1024,1.0
shallow_freeze,7,8,1,1024,1,1,1024,1.0
shallow_freeze,7,9,1,1024,1,1,1024,1.0
shallow_freeze,7,10,1,1024,1,1,1024,1.0
shallow_freeze,7,11,1,1024,1,1,1024,1.0
shallow_freeze,7,12,1,1024,1,1,1024,1.0
shallow_freeze,7,13,1,1024,1,1,1024,1.0
shallow_freeze,7,14,1,1024,1,1,1024,1.0
shallow_freeze,7,15,1,1024,1,1,1024,1.0
shallow_freeze,7,16,1,1024,1,1,1024,1.0
shallow_freeze,7,17,1,1024,1,1,1024,1.0
shallow_freeze,7,18,1,1024,1,1,1024,1.0
shallow_freeze,7,19,1,1024,1,1,1024,1.0
shallow_freeze,7,20,1,1024,1,1,1024,1.0
shallow_freeze,7,21,1,1024,1,1,1024,1.0
shallow_freeze,7,22,1,1024,1,1,1024,1.0
shallow_freeze,7,23,1,1024,1,1,1024,1.0
shallow_freeze,7,24,1,1024,1,1,1024,1.0
shallow_freeze,7,25,1,1024,1,1,1024,1.0
shallow_freeze,7,26,1,1024,1,1,1024,1.0
shallow_freeze,7,27,1,1024,1,1,1024,1.0
shallow_freeze,7,28,1,1024,1,1,1024,1.0
shallow_freeze,7,29,1,1024,1,1,1024,1.0
shallow_freeze,7,30,1,1024,1,1,1024,1.0
shallow_freeze,7,31,1,1024,1,1,1024,1.0
shallow_freeze,8,0,2,2048,3,2,2048,1.0
shallow_freeze,8,1,2,2048,3,2,2048,1.0
shallow_freeze,8,2,2,2048,3,2,2048,1.0
shallow_freeze,8,3,2,2048,3,2,2048,1.0
shallow_freeze,8,4,2,2048,3,2,2048,1.0
shallow_freeze,8,5,2,2048,3,2,2048,1.0
shallow_freeze,8,6,2,2048,3,2,2048,1.0
shallow_freeze,8,7,2,2048,3,2,2048,1.0
shallow_freeze,8,8,2,2048,3,2,2048,1.0
shallow_freeze,8,9,2,2048,3,2,2048,1.0
shallow_freeze,8,10,2,2048,3,2,2048,1.0
shallow_freeze,8,11,2,2048,3,2,2048,1.0
shallow_freeze,8,12,2,2048,3,2,2048,1.0
shallow_freeze,8,13,2,2048,3,2,2048,1.0
shallow_freeze,8,14,2,2048,3,2,2048,1.0
shallow_freeze,8,15,2,2048,3,2,2048,1.0
shallow_freeze,8,16,2,2048,3,2,2048,1.0
shallow_freeze,8,17,2,2048,3,2,2048,1.0
shallow_freeze,8,18,2,2048,3,2,2048,1.0
shallow_freeze,8,19,2,2048,3,2,2048,1.0
shallow_freeze,8,20,2,2048,3,2,2048,1.0
shallow_freeze,8,21,2,2048,3,2,2048,1.0
shallow_freeze,8,22,2,2048,3,2,2048,1.0
shallow_freeze,8,23,2,2048,3,2,2048,1.0
shallow_freeze,8,24,2,2048,3,2,2048,1.0
shallow_freeze,8,25,2,2048,3,2,2048,1.0
shallow_freeze,8,26,2,2048,3,2,2048,1.0
shallow_freeze,8,27,2,2048,3,2,2048,1.0
shallow_freeze,8,28,2,2048,3,2,2048,1.0
shallow_freeze,8,29,2,2048,3,2,2048,1.0
shallow_freeze,8,30,2,2048,3,2,2048,1.0
shallow_freeze,8,31,2,2048,3,2,2048,1.0
shallow_freeze,9,0,0,512,0,0,512,1.0
shallow_freeze,9,1,0,512,0,0,512,1.0
shallow_freeze,9,2,0,512,0,0,512,1.0
shallow_freeze,9,3,0,512,0,0,512,1.0
shallow_freeze,9,4,0,512,0,0,512,1.0
shallow_freeze,9,5,0,512,0,0,512,1.0
shallow_freeze,9,6,0,512,0,0,512,1.0
shallow_freeze,9,7,0,512,0,0,512,1.0
shallow_freeze,9,8,0,512,0,0,512,1.0
shallow_freeze,9,9,0,512,0,0,512,1.0
shallow_freeze,9,10,0,512,0,0,512,1.0
shallow_freeze,9,11,0,512,0,0,512,1.0
shallow_freeze,9,12,0,512,0,0,512,1.0
shallow_freeze,9,13,0,512,0,0,512,1.0
shallow_freeze,9,14,0,512,0,0,512,1.0
shallow_freeze,9,15,0,512,0,0,512,1.0
shallow_freeze,9,16,0,512,0,0,512,1.0
shallow_freeze,9,17,0,512,0,0,512,1.0
shallow_freeze,9,18,0,512,0,0,512,1.0
shallow_freeze,9,19,0,512,0,0,512,1.0
shallow_freeze,9,20,0,512,0,0,512,1.0
shallow_freeze,9,21,0,512,0,0,512,1.0
shallow_freeze,9,22,0,512,0,0,512,1.0
shallow_freeze,9,23,0,512,0,0,512,1.0
shallow_freeze,9,24,0,512,0,0,512,1.0
shallow_freeze,9,25,0,512,0,0,512,1.0
shallow_freeze,9,26,0,512,0,0,512,1.0
shallow_freeze,9,27,0,512,0,0,512,1.0
shallow_freeze,9,28,0,512,0,0,512,1.0
shallow_freeze,9,29,0,512,0,0,512,1.0
shallow_freeze,9,30,0,512,0,0,512,1.0
shallow_freeze,9,31,0,512,0,0,512,1.0
shallow_freeze,10,0,2,2048,3,2,2048,1.0
shallow_freeze,10,1,2,2048,3,2,2048,1.0
shallow_freeze,10,2,2,2048,3,2,2048,1.0
shallow_freeze,10,3,2,2048,3,2,2048,1.0
shallow_freeze,10,4,2,2048,3,2,2048,1.0
shallow_freeze,10,5,2,2048,3,2,2048,1.0
shallow_freeze,10,6,2,2048,3,2,2048,1.0
shallow_freeze,10,7,2,2048,3,2,2048,1.0
shallow_freeze,10,8,2,2048,3,2,2048,1.0
shallow_freeze,10,9,2,2048,3,2,2048,1.0
shallow_freeze,10,10,2,2048,3,2,2048,1.0
shallow_freeze,10,11,2,2048,3,2,2048,1.0
shallow_freeze,10,12,2,2048,3,2,2048,1.0
shallow_freeze,10,13,2,2048,3,2,2048,1.0
shallow_freeze,10,14,2,2048,3,2,2048,1.0
shallow_freeze,10,15,2,2048,3,2,2048,1.0
shallow_freeze,10,16,2,2048,3,2,2048,1.0
shallow_freeze,10,17,2,2048,3,2,2048,1.0
shallow_freeze,10,18,2,2048,3,2,2048,1.0
shallow_freeze,10,19,2,2048,3,2,2048,1.0
shallow_freeze,10,20,2,2048,3,2,2048,1.0
shallow_freeze,10,21,2,2048,3,2,2048,1.0
shallow_freeze,10,22,2,2048,3,2,2048,1.0
shallow_freeze,10,23,2,2048,3,2,2048,1.0
shallow_freeze,10,24,2,2048,3,2,2048,1.0
shallow_freeze,10,25,2,2048,3,2,2048,1.0
shallow_freeze,10,26,2,2048,3,2,2048,1.0
shallow_freeze,10,27,2,2048,3,2,2048,1.0
shallow_freeze,10,28,2,2048,3,2,2048,1.0
shallow_freeze,10,29,2,2048,3,2,2048,1.0
shallow_freeze,10,30,2,2048,3,2,2048,1.0
shallow_freeze,10,31,2,2048,3,2,2048,1.0
shallow_freeze,11,0,0,512,0,0,512,1.0
shallow_freeze,11,1,0,512,0,0,512,1.0
shallow_freeze,11,2,0,512,0,0,512,1.0
shallow_freeze,11,3,0,512,0,0,512,1.0
shallow_freeze,11,4,0,512,0,0,512,1.0
shallow_freeze,11,5,0,512,0,0,512,1.0
shallow_freeze,11,6,0,512,0,0,512,1.0
shallow_freeze,11,7,0,512,0,0,512,1.0
shallow_freeze,11,8,0,512,0,0,512,1.0
shallow_freeze,11,9,0,512,0,0,512,1.0
shallow_freeze,11,10,0,512,0,0,512,1.0
shallow_freeze,11,11,0,512,0,0,512,1.0
shallow_freeze,11,12,0,512,0,0,512,1.0
shallow_freeze,11,13,0,512,0,0,512,1.0
shallow_freeze,11,14,0,512,0,0,512,1.0
shallow_freeze,11,15,0,512,0,0,512,1.0
shallow_freeze,11,16,0,512,0,0,512,1.0
shallow_freeze,11,17,0,512,0,0,512,1.0
shallow_freeze,11,18,0,512,0,0,512,1.0
shallow_freeze,11,19,0,512,0,0,512,1.0
shallow_freeze,11,20,0,512,0,0,512,1.0
shallow_freeze,11,21,0,512,0,0,512,1.0
shallow_freeze,11,22,0,512,0,0,512,1.0
shallow_freeze,11,23,0,512,0,0,512,1.0
shallow_freeze,11,24,0,512,0,0,512,1.0
shallow_freeze,11,25,0,512,0,0,512,1.0
shallow_freeze,11,26,0,512,0,0,512,1.0
shallow_freeze,11,27,0,512,0,0,512,1.0
shallow_freeze,11,28,0,512,0,0,512,1.0
shallow_freeze,11,29,0,512,0,0,512,1.0
shallow_freeze,11,30,0,512,0,0,512,1.0
shallow_freeze,11,31,0,512,0,0,512,1.0
shallow_freeze,12,0,1,1024,1,1,1024,1.0
shallow_freeze,12,1,1,1024,1,1,1024,1.0
shallow_freeze,12,2,1,1024,1,1,1024,1.0
shallow_freeze,12,3,1,1024,1,1,1024,1.0
shallow_freeze,12,4,1,1024,1,1,1024,1.0
shallow_freeze,12,5,1,1024,1,1,1024,1.0
shallow_freeze,12,6,1,1024,1,1,1024,1.0
shallow_freeze,12,7,1,1024,1,1,1024,1.0
shallow_freeze,12,8,1,1024,1,1,1024,1.0
shallow_freeze,12,9,1,1024,1,1,1024,1.0
shallow_freeze,12,10,1,1024,1,1,1024,1.0
shallow_freeze,12,11,1,1024,1,1,1024,1.0
shallow_freeze,12,12,1,1024,1,1,1024,1.0
shallow_freeze,12,13,1,1024,1,1,1024,1.0
shallow_freeze,12,14,1,1024,1,1,1024,1.0
shallow_freeze,12,15,1,1024,1,1,1024,1.0
shallow_freeze,12,16,1,1024,1,1,1024,1.0
shallow_freeze,12,17,1,1024,1,1,1024,1.0
shallow_freeze,12,18,1,1024,1,1,1024,1.0
shallow_freeze,12,19,1,1024,1,1,1024,1.0
shallow_freeze,12,20,1,1024,1,1,1024,1.0
shallow_freeze,12,21,1,1024,1,1,1024,1.0
shallow_freeze,12,22,1,1024,1,1,1024,1.0
shallow_freeze,12,23,1,1024,1,1,1024,1.0
shallow_freeze,12,24,1,1024,1,1,1024,1.0
shallow_freeze,12,25,1,1024,1,1,1024,1.0
shallow_freeze,12,26,1,1024,1,1,1024,1.0
shallow_freeze,12,27,1,1024,1,1,1024,1.0
shallow_freeze,12,28,1,1024,1,1,1024,1.0
shallow_freeze,12,29,1,1024,1,1,1024,1.0
shallow_freeze,12,30,1,1024,1,1,1024,1.0
shallow_freeze,12,31,1,1024,1,1,1024,1.0
shallow_freeze,13,0,1,1024,1,1,1024,1.0
shallow_freeze,13,1,1,1024,1,1,1024,1.0
shallow_freeze,13,2,1,1024,1,1,1024,1.0
shallow_freeze,13,3,1,1024,1,1,1024,1.0
shallow_freeze,13,4,0,512,0,0,512,1.0
shallow_freeze,13,5,0,512,0,0,512,1.0
shallow_freeze,13,6,0,512,0,0,512,1.0
shallow_freeze,13,7,0,512,0,0,512,1.0
shallow_freeze,13,8,1,1024,1,1,1024,1.0
shallow_freeze,13,9,1,1024,1,1,1024,1.0
shallow_freeze,13,10,1,1024,1,1,1024,1.0
shallow_freeze,13,11,1,1024,1,1,1024,1.0
shallow_freeze,13,12,1,1024,1,1,1024,1.0
shallow_freeze,13,13,1,1024,1,1,1024,1.0
shallow_freeze,13,14,1,1024,1,1,1024,1.0
shallow_freeze,13,15,1,1024,1,1,1024,1.0
shallow_freeze,13,16,0,512,0,0,512,1.0
shallow_freeze,13,17,0,512,0,0,512,1.0
shallow_freeze,13,18,0,512,0,0,512,1.0
shallow_freeze,13,19,0,512,0,0,512,1.0
shallow_freeze,13,20,0,512,0,0,512,1.0
shallow_freeze,13,21,0,512,0,0,512,1.0
shallow_freeze,13,22,0,512,0,0,512,1.0
shallow_freeze,13,23,0,512,0,0,512,1.0
shallow_freeze,13,24,0,512,0,0,512,1.0
shallow_freeze,13,25,0,512,0,0,512,1.0
shallow_freeze,13,26,1,1024,3,1,1024,1.0
shallow_freeze,13,27,1,1024,3,1,1024,1.0
shallow_freeze,13,28,1,1024,2,1,1024,1.0
shallow_freeze,13,29,1,1024,2,1,1024,1.0
shallow_freeze,13,30,1,1024,2,1,1024,1.0
shallow_freeze,13,31,1,1024,2,1,1024,1.0
shallow_freeze,14,0,1,1024,2,1,1024,1.0
shallow_freeze,14,1,1,1024,2,1,1024,1.0
shallow_freeze,14,2,1,1024,2,1,1024,1.0
shallow_freeze,14,3,1,1024,2,1,1024,1.0
shallow_freeze,14,4,1,1024,0,1,1024,1.0
shallow_freeze,14,5,1,1024,0,1,1024,1.0
shallow_freeze,14,6,1,1024,2,1,1024,1.0
shallow_freeze,14,7,1,1024,2,1,1024,1.0
shallow_freeze,14,8,1,1024,2,1,1024,1.0
shallow_freeze,14,9,1,1024,2,1,1024,1.0
shallow_freeze,14,10,1,1024,2,1,1024,1.0
shallow_freeze,14,11,1,1024,2,1,1024,1.0
shallow_freeze,14,12,1,1024,2,1,1024,1.0
shallow_freeze,14,13,1,1024,2,1,1024,1.0
shallow_freeze,14,14,1,1024,2,1,1024,1.0
shallow_freeze,14,15,1,1024,2,1,1024,1.0
shallow_freeze,14,16,1,1024,2,1,1024,1.0
shallow_freeze,14,17,1,1024,2,1,1024,1.0
shallow_freeze,14,18,1,1024,2,1,1024,1.0
shallow_freeze,14,19,1,1024,2,1,1024,1.0
shallow_freeze,14,20,1,1024,2,1,1024,1.0
shallow_freeze,14,21,1,1024,2,1,1024,1.0
shallow_freeze,14,22,1,1024,2,1,1024,1.0
shallow_freeze,14,23,1,1024,2,1,1024,1.0
shallow_freeze,14,24,1,1024,2,1,1024,1.0
shallow_freeze,14,25,1,1024,2,1,1024,1.0
shallow_freeze,14,26,1,1024,2,1,1024,1.0
shallow_freeze,14,27,1,1024,2,1,1024,1.0
shallow_freeze,14,28,1,1024,2,1,1024,1.0
shallow_freeze,14,29,1,1024,2,1,1024,1.0
shallow_freeze,14,30,1,1024,2,1,1024,1.0
shallow_freeze,14,31,1,1024,2,1,1024,1.0
shallow_freeze,15,0,1,1024,2,1,1024,1.0
shallow_freeze,15,1,1,1024,2,1,1024,1.0
shallow_freeze,15,2,1,1024,2,1,1024,1.0
shallow_freeze,15,3,1,1024,2,1,1024,1.0
shallow_freeze,15,4,1,1024,2,1,1024,1.0
shallow_freeze,15,5,1,1024,2,1,1024,1.0
shallow_freeze,15,6,1,1024,2,1,1024,1.0
shallow_freeze,15,7,1,1024,2,1,1024,1.0
shallow_freeze,15,8,1,1024,2,1,1024,1.0
shallow_freeze,15,9,1,1024,2,1,1024,1.0
shallow_freeze,15,10,1,1024,2,1,1024,1.0
shallow_freeze,15,11,1,1024,2,1,1024,1.0
shallow_freeze,15,12,1,1024,2,1,1024,1.0
shallow_freeze,15,13,1,1024,2,1,1024,1.0
shallow_freeze,15,14,1,1024,2,1,1024,1.0
shallow_freeze,15,15,1,1024,2,1,1024,1.0
